"Rockefeller University, New York.",40.7625706,-73.9556889
"Department of Structural Biology, University of Basel, Switzerland.",47.5639202,7.579963900000001
"Département d'Ingénierie et d'Etude des Protéines, CE-Saclay, Gif-sur-Yvette, France.",48.7126467,2.1477867
"CSIRO Division of Biomolecular Engineering, Parkville, Victoria, Australia.",-37.788,144.951
"Institut für Molekularbiologie und Biophysik, Eidgenösische Technische Hochschule-Hönggerberg, Zürich, Switzerland.",47.376313,8.547669899999999
"Department of Protein Engineering, Genentech Inc., South San Francisco, California 94080.",37.654189,-122.3896475
"Howard Hughes Medical Institute, Department of Molecular Biology and Genetics, Johns Hopkins University School of Medicine, Baltimore, MD 21205.",39.2992161,-76.5933799
"Department of Chemistry, University of Manchester, U.K.",53.4668498,-2.2338837
"Department of Biochemistry, University of Iowa, Iowa City 52242.",41.6615692,-91.54446709999999
"Department of Chemistry, University of York, U.K.",53.9478728,-1.0478536
"Institut für Organische Chemie und Biochemie, Universität, Freiburg im Breisgau, Germany.",48.0013606,7.844817699999999
"Carlsberg Laboratorium, Kemisk Afdeling, Copenhagen, Denmark.",55.670982,12.3920198
"Biological Chemistry Division, National Chemical Laboratory for Industry, Ibaraki, Japan.",36.3418112,140.4467935
"Crystallography and Biophysical Chemistry Group, Du Pont Merck Pharmaceutical Company, Wilmington, Delaware 19880-0228.",39.75,-75.55
"Department of Biochemistry, University of Alberta, Edmonton, Canada.",53.5232189,-113.5263186
"Department of Chemistry, Rutgers, State University of New Jersey, New Brunswick 08903.",40.5008186,-74.44739910000001
"Faculty of Pharmaceutical Sciences, University of Tokyo, Japan.",35.7101271,139.7630735
"Department of Chemistry, Groningen University, The Netherlands.",53.2192634,6.562987199999999
"Institute of Molecular Biology, University of Oregon, Eugene 97403.",44.0448302,-123.0726055
"Department of Biochemistry and Biophysics, University of California, San Francisco 94143.",37.7631333,-122.4575489
"Department of Molecular Biology, Scripps Research Institute, La Jolla, California 92037.",32.894423,-117.242208
"Department of Pharmaceutical Research--New Technologies, F. Hoffmann-La Roche Ltd., Basel, Switzerland.",47.55862399999999,7.606018
"Department of Pathology, University of Alabama at Birmingham 35294.",33.5057764,-86.8021017
"Department of Pharmaceutical Chemistry, University of California, San Francisco 94143-0446.",37.7631333,-122.4575489
"Department of Biochemistry, University of Wisconsin, Madison 53706.",43.0741306,-89.41199399999999
"Institute for Enzyme Research, Graduate School, University of Wisconsin, Madison 53705.",43.1317037,-89.2897028
"Institute of Molecular Biology, Howard Hughes Medical Institute, Eugene, OR.",44.0520691,-123.0867536
"Department of Chemistry, University of Edinburgh, UK.",55.9235392,-3.1761998
"Unite de Recherche Associée 359 Centre National de la Recherche Scientifique, Institut Pasteur, Paris, France.",48.8403549,2.3112783
"Laboratory of Protein Crystallography, Abbott Laboratories, Abbott Park, IL 60064.",42.3027586,-87.8962464
"Chimie Structurale Bio-moléculaire (URA 1430 CNRS), UFR Biomédicale, Bobigny, France.",48.8558086,2.3315675
"Protein Engineering Department, Enzon, Incorporated, Gaithersburg, Maryland 20877.",39.1415467,-77.18253229999999
"Howard Hughes Medical Institute, Baylor College of Medicine, Houston, Texas 77030.",29.710523,-95.39624
"Department of Biochemistry, University of Oxford, England.",51.7593835,-1.255015
"Institute of Crystallography, Russian Academy of Sciences, Moscow.",55.7107897,37.5778246
